project_name_id,project_id,project_name,other_name
1,1,101 Mansion,
2,2,103 Central Condominium,
3,3,103 Condominium 2,103 คอนโดมิเนียม โครงการ 2
4,3,103 Condominium 2,103 Condominium Phase 2
5,4,103 Condominium 3,
6,5,107 Baring Condo,107แบริ่ง คอนโด
7,6,125 SATHORN,
8,7,15 Suite,15 สวีท
9,8,15 Sukhumvit Residences,15 สุขุมวิท Residences
10,8,15 Sukhumvit Residences,15 Residences Sukhumvit
11,8,15 Sukhumvit Residences,15 สุขุมวิท เรสซิเด็นท์
12,9,168 Sukhumvit 36,
13,10,185 Ratchadamri,185 Rajdamri
14,10,185 Ratchadamri,185 Rajadamri
15,11,23 Degree Condo,23° Condo
16,11,23 Degree Condo,23 องศา คอนโด เขาใหญ่
17,11,23 Degree Condo,23° Condo Khaoyai
18,12,28 Chidlom,
19,13,33 Tower,
20,14,333 Riverside,
21,15,38 Mansion,
22,16,39 Suite,39 Suites
23,17,39 by Sansiri,
24,18,49 Plus,Forty Nine
25,18,49 Plus,49 พลัส
26,19,49 Plus 2,The 49 Plus 2
27,19,49 Plus 2,49 Plus II
28,19,49 Plus 2,เดอะ โฟร์ตี้ไนน์ พลัส 2
29,20,49 Suite,
30,21,59 Heritage,59 Heritage สุขุมวิท
31,21,59 Heritage,ฟิฟตี้ไนน์ เฮอริเทจ
32,21,59 Heritage,Fifty Nine Heritage
33,22,624 Condolette Ladprao,624 Condolette Lad Phrao
34,22,624 Condolette Ladprao,624 Condolette ลาดพร้าว
35,23,624 Condolette Ratchada 36,624 Condolete รัชดา
36,23,624 Condolette Ratchada 36,624 Condolete Ratchada
37,23,624 Condolette Ratchada 36,624 คอนโดเลต รัชดา
38,23,624 Condolette Ratchada 36,624 Condolette Rachada 36
39,24,88 The Terminal,88 The Terminal สิรินธร-ปิ่นเกล้า
40,25,9 Sriracha,
41,26,98 wireless,98 ไวร์เลส
42,27,@ City Sukhumvit 101/1,@City Sukhumvit 101/1
43,27,@ City Sukhumvit 101/1,@City สุขุมวิท 101/1
44,27,@ City Sukhumvit 101/1,@ ซิตี้ สุขุมวิท 101/1
45,27,@ City Sukhumvit 101/1,แอทซิตี้ สุขุมวิท 101/1
46,28,A Plus 2 @ Rattanathibet,A-Plus 2 @ Rattanathibet
47,28,A Plus 2 @ Rattanathibet,เอ พลัส2 @ รัตนาธิเบศร์
48,28,A Plus 2 @ Rattanathibet,A Plus2 @ Rattanathibet
49,28,A Plus 2 @ Rattanathibet,A Plus 2 @ รัตนาธิเบศร์
50,29,A Plus Condo,A Plus Condo รัตนาธิเบศร์ - ติวานนท์
51,30,A Pool Bangna,A pool Condo
52,30,A Pool Bangna,A Pool บางนา
53,30,A Pool Bangna,เอพูล คอนโด
54,31,A Space Asoke - Ratchada,A Space อโศก - รัชดา
55,32,A Space Hideaway Asoke - Ratchada,
56,33,A Space ID Asoke - Ratchada,A Space ID อโศก - รัชดา
57,33,A Space ID Asoke - Ratchada,A Space I.D. Asok - Ratchada
58,33,A Space ID Asoke - Ratchada,a space I.D. อโศก - รัชดา
59,34,A Space Kaset - Nawamin,A Space เกษตร - นวมินทร์
60,35,A Space ME Bangna,เอสเปซ มี บางนา
61,35,A Space ME Bangna,A Space ME บางนา
62,35,A Space ME Bangna,a space Me Bangna
63,36,A Space Me Rattanathibet,A Space Me รัตนาธิเบศร์
64,36,A Space Me Rattanathibet,เอสเปซ มี รัตนาธิเบศร์
65,37,A Space Me Sukhumvit 77,a space Me Sukhumvit 77
66,37,A Space Me Sukhumvit 77,เอสเปซ มี สุขุมวิท 77
67,37,A Space Me Sukhumvit 77,A Space ME สุขุมวิท 77
68,37,A Space Me Sukhumvit 77,A Space ME Sukhumvit 77
69,38,A Space Mega 2,A SPACE MEGA II
70,38,A Space Mega 2,A SPACE เมกา 2
71,39,A Space Play Ratchada - Sutthisarn,A Space Play รัชดา - สุทธิสาร
72,40,A Space Sukhumvit 77,A Space สุขุมวิท 77
73,40,A Space Sukhumvit 77,a space Sukhumvit 77
74,40,A Space Sukhumvit 77,เอสเปซ สุขุมวิท 77
75,41,A space mega,เอ สเปซ เมกา
76,42,A.D Resort,A.D Resort HuaHin
77,42,A.D Resort,เอ.ดี.รีสอร์ท หัวหิน
78,43,AD Bangsaray Lake & Resort,AD Bang Saray
79,43,AD Bangsaray Lake & Resort,AD Bangsaray Lake and Resort
80,43,AD Bangsaray Lake & Resort,เอ ดี บางเสร่
81,44,AD Hyatt,เอ ดี ฮายแอด
82,45,AD Racha Residence,เอ ดี คอนโดมิเนียม
83,45,AD Racha Residence,AD Condominium
84,46,AD Wongamat,
85,47,ALBAR PENINSULA,
86,48,AMF Condominium,
87,49,ANDROMEDA Khao Phra Tamnak,ANDROMEDA เขาพระตำหนัก
88,50,APUS Condominium,Apus Condominium
89,51,AQ Alix Residence Soonvijai,AQ Alix Residence ศูนย์วิจัย
90,52,ARC condominium,เอ อาร์ ซี คอนโดมิเนียม
91,52,ARC condominium,Airport Rescidential Condo
92,53,ARISE Condo Ratchada 19,ARISE Condo รัชดา 19
93,54,AROM JOMTIEN - PATTAYA,AROM จอมเทียน - พัทยา
94,55,AROM WONGAMAT,AROM วงศ์อมาตย์
95,56,AROON,
96,57,ARTi Sukhumvit 71,ARTi สุขุมวิท 71
97,58,ASHER PRIVÉ SUTTHISAN,ASHER PRIVÉ สุทธิสาร
98,58,ASHER PRIVÉ SUTTHISAN,ASHER PRIVE SUTTHISAN
99,59,ASHER Ratchada - Huai Khwang,ASHER รัชดา - ห้วยขวาง
100,60,ASPIRE Rattanathibet-Weston,
101,61,Aashiana Sukhumvit 26,
102,62,Abac Condotown,เอแบคคอนโดทาวน์
103,63,Abaconi Living Condo (ABAC Bangna Campus),Abaconi Living Condo
104,64,Ables Ladprao 27,Ables ลาดพร้าว 27
105,65,Abstracts Phahonyothin Park,Abstracts พหลโยธิน พาร์ค
106,66,Abstracts Sukhumvit 66/1,Abstracts สุขุมวิท 66/1
107,67,Acadamia Grand Tower,
108,68,Acqua,แอคควา คอนโดมิเนียม
109,68,Acqua,ACQUA Condominium
110,69,Adamas Phahonyotin,
111,70,Addera Chaengwattana,Addera แจ้งวัฒนะ
112,71,Aequa Sukhumvit 49,Aequa สุขมวิท 49
113,72,Aeras Pattaya,AERAS Beachfront Condominium Pattaya
114,72,Aeras Pattaya,แอราส บีชพร้อนท์ คอนโดมิเนียม พัทยา
115,73,Aguston Sukhumvit 22,อกัสตัน สุขุมวิท 22
116,73,Aguston Sukhumvit 22,Aguston สุขุมวิท 22
117,74,Airlink Residence,Airlink Residences
118,75,Airport Home Condominium,
119,76,Akesin Place,
120,77,Akesin Tower,เอกสิน คอนโด
121,78,Akra Collection Layan,
122,79,Aland Condo,เอแลนด์ คอนโด ไทรน้อย นนทบุรี
123,79,Aland Condo,A Land Condo ไทรน้อย นนทบุรี
124,80,Alisha Court,
125,81,Aliss Tiwanon,Aliss ติวานนท์
126,82,Aliss Wongwianyai,Aliss วงเวียนใหญ่
127,83,All Season Mansion,
128,84,Altitude Define,
129,85,Altitude Samyan - Silom,Altitude สามย่าน - สีลม
130,86,Altitude Symphony Charoenkrung,Altitude Symphony เจริญกรุง
131,87,Altitude Unicorn Sathorn - Thapra,Altitude Unicorn สาทร - ท่าพระ
132,88,Amanta Lumpini,Amanta L.P.N.
133,88,Amanta Lumpini,Amanta LPN
134,88,Amanta Lumpini,Amanta ลุมพินี
135,89,Amanta Ratchada,Amanta Rachada
136,89,Amanta Ratchada,Amanta รัชดา
137,89,Amanta Ratchada,Amanta Ratchada Residence
138,90,Amaranta Residence,
139,91,Amari Residence Huahin,Amari Residences Hua Hin
140,91,Amari Residence Huahin,Amari Residence หัวหิน
141,92,Amari Residences Pattaya,อมารี เรสซิเดนซ์ แอนด์ สวีท พัทยา
142,92,Amari Residences Pattaya,Amari Residences & Suites Pattaya
143,92,Amari Residences Pattaya,Amari Residences & Suites พัทยา
144,93,Amari Residences Phuket,Amari Residences ภูเก็ต
145,94,Amata Miracle Condo,อมตะมิราเคิล ชลบุรี
146,95,Amazon Residence Pattaya,Amazon Residence พัทยา
147,96,Amber by Eastern Star,Amber ติวานนท์
148,97,Anantara Baan Rajprasong,
149,98,Ananya Beachfront Naklua,อนัญญา บีชฟร้อนท์
150,98,Ananya Beachfront Naklua,Ananya Beachfront
151,98,Ananya Beachfront Naklua,อนันยา บีชฟร้อนท์ นาเกลือ
152,99,Ananya Beachfront Wong Amat,
153,100,Andaman Riviera,
154,101,Angket Condominium,
155,102,Angket Pavillian,อังเกตุ พาวิลเลียน
156,103,Anil Sathorn 12,Anil สาทร 12
157,104,Anna Condo Bang Phlu,Anna Condo บางพลู
158,105,Anna Condo Ladprao,
159,106,Anusoawaree Condominium,
160,107,Apple Sukhumvit - Bearing,Apple สุขุมวิท - แบริ่ง
161,108,Arcadia Beach Continental,
162,109,Arcadia Beach Resort,
163,110,Arcadia Center Suites,
164,111,Arcadia Millennium Tower,
165,112,Arcadia Tower,
166,113,Aree Place Phahonyothin,อารีย์ เพลส
167,113,Aree Place Phahonyothin,Ari Place Phahon Yothin
168,113,Aree Place Phahonyothin,Aree Place
169,114,Aree Place Sukhumvit 26,
170,115,Arise Condo Mahidol,Arise คอนโด มหิดล (เชียงใหม่)
171,116,Art @ Patong,Art @Patong
172,116,Art @ Patong,อาร์ท @ ป่าตอง
173,116,Art @ Patong,อาร์ท @ป่าตอง
174,117,Art @ Thonglor 25,Art @ Tong Lo 25
175,117,Art @ Thonglor 25,Art @ ทองหล่อ 25
176,118,Art on the Hill,
177,119,Artemis Sukhumvit 77,Artemis สุขุมวิท 77
178,120,Artisan Ratchada,
179,121,Arunothai Condo,
180,122,Arunroj Tower,
181,123,Asa Ayuthaya - Rojana,Asa อยุธยา - โรจนะ
182,124,Asa Garden,
183,125,Asakan City Ramkhamhaeng 186,THE RIK รามคำแหง
184,125,Asakan City Ramkhamhaeng 186,THE RIK Ramkhamhaeng
