unit_type_id,project_id,project_name,unit_type
1,1,101 Mansion,No information
2,2,103 Central Condominium,No information
3,3,103 Condominium 2,No information
4,4,103 Condominium 3,No information
5,5,107 Baring Condo,No information
6,6,125 SATHORN,No information
7,7,15 Suite,No information
8,8,15 Sukhumvit Residences,3 Bedroom (125.0 sq.m.)
9,8,15 Sukhumvit Residences,Studio (23.0 sq.m.)
10,8,15 Sukhumvit Residences,1 Bedroom  (36.0 sq.m.)
11,8,15 Sukhumvit Residences,2 Bedroom (66.0 sq.m.)
12,9,168 Sukhumvit 36,Studio  (27.42 - 29.12 sq.m.)
13,9,168 Sukhumvit 36,2 Bedrooms (64.86 - 85.60 sq.m.)
14,9,168 Sukhumvit 36,Penthouse (85.0 - 125.0 sq.m.)
15,9,168 Sukhumvit 36,1 Bedroom (28.81 - 56.60 sq.m.)
16,10,185 Ratchadamri,Duplex (135.0 - 151.0 sq.m.)
17,10,185 Ratchadamri,Duplex (346.0 - 356.0 sq.m.)
18,10,185 Ratchadamri,3 Bedroom (161.0 - 226.0 sq.m.)
19,10,185 Ratchadamri,1 Bedroom (61.0 - 70.0 sq.m.)
20,10,185 Ratchadamri,4 Bedroom (300.0 sq.m.)
21,10,185 Ratchadamri,2 Bedroom (100.0 - 155.0 sq.m.)
22,11,23 Degree Condo,3 Bedroom (97.0 sq.m.)
23,11,23 Degree Condo,2 Bedroom (74.0 - 97.0 sq.m.)
24,11,23 Degree Condo,1 Bedroom (50.50 - 52.0 sq.m.)
25,12,28 Chidlom,1 Bedroom (40.0 - 50.0 sq.m.)
26,12,28 Chidlom,2 Bedroom (69.0 - 91.0 sq.m.)
27,12,28 Chidlom,3 Bedroom (120.0 - 200.0 sq.m.)
28,12,28 Chidlom,Penthouse (100.0 - 190.0 sq.m.)
29,12,28 Chidlom,studio (33.0 sq.m.)
30,13,33 Tower,No information
31,14,333 Riverside,Villa (141.70 - 192.70 sq.m.)
32,14,333 Riverside,2 Bedroom (83.20 - 94.10 sq.m.)
33,14,333 Riverside,1 Bedroom (45.50 - 51.10 sq.m.)
34,15,38 Mansion,2 Bedroom (N/A sq.m.)
35,15,38 Mansion,1 Bedroom  (N/A sq.m.)
36,15,38 Mansion,Studio (N/A sq.m.)
37,16,39 Suite,No information
38,17,39 by Sansiri,1 Bedroom (50.0 - 59.50 sq.m.)
39,17,39 by Sansiri,2 Bedrooms (65.0 - 82.50 sq.m.)
40,17,39 by Sansiri,3 Bedrooms (118.0 - 132.50 sq.m.)
41,17,39 by Sansiri,Duplex (3 Bedrooms) (106.0 sq.m.)
42,17,39 by Sansiri,Penthouse (306.50 - 323.0 sq.m.)
43,18,49 Plus,No information
44,19,49 Plus 2,No information
45,20,49 Suite,No information
46,21,59 Heritage,3 Bedroom (N/A sq.m.)
47,21,59 Heritage,2 Bedroom (N/A sq.m.)
48,21,59 Heritage,1 Bedroom (N/A sq.m.)
49,22,624 Condolette Ladprao,No information
50,23,624 Condolette Ratchada 36,Studio (23.16 sq.m.)
51,23,624 Condolette Ratchada 36,1 Bedroom (27.80 - 27.95 sq.m.)
52,23,624 Condolette Ratchada 36,2 Bedroom (47.14 - 55.35 sq.m.)
53,24,88 The Terminal,Studio (32.0 sq.m.)
54,24,88 The Terminal,1 Bedroom  (30.0 - 37.50 sq.m.)
55,24,88 The Terminal,2 Bedroom (64.0 - 117.50 sq.m.)
56,25,9 Sriracha,No information
57,26,98 wireless,Super Penthouse (1.00 sq.m.)
58,26,98 wireless,Penthouse (553.50 sq.m.)
59,26,98 wireless,Duplex (231.50 - 245.50 sq.m.)
60,26,98 wireless,3 Bedrooms (237.75 - 366.25 sq.m.)
61,26,98 wireless,2 Bedrooms (119.75 - 143.50 sq.m.)
62,27,@ City Sukhumvit 101/1,No information
