place_type,place_name,link_name,num_rent,num_sale,num_avg,flag
School,Srinakharinwirot University Prasarnmit Demonstration School,srinakharinwirot-university-prasarnmit-demonstration-school,35389,18973,27181.0,1
University/College,Bangkok University,bangkok-university--3,35050,17775,26412.5,1
University/College,Srinakharinwirot University Prasanmit Campus,srinakharinwirot-university-prasanmit-campus,34146,18419,26282.5,1
School,Sai Namphueng School,sai-namphueng-school,32675,17686,25180.5,1
International School,Trinity International School,trinity-international-school,29476,15856,22666.0,1
Bangkok,Watthana,watthana,25390,12948,19169.0,1
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,23772,9996,16884.0,1
School,Wat Pathum Wanaram School,wat-pathum-wanaram-school,17931,9508,13719.5,1
Bangkok,Khlong Toei,khlong-toei,16746,8545,12645.5,1
International School,Ekamai International School,ekamai-international-school,15290,7803,11546.5,1
School,St. Joseph Convent School,st-joseph-convent-school,13219,8462,10840.5,1
BTS Sukhumvit Line,BTS Thong Lo (Thong Lor),bts-thong-lo-thong-lor,12529,6820,9674.5,1
University/College,Chulalongkorn University,chulalongkorn-university,12020,6713,9366.5,1
University/College,Mahidol University Phaya Thai,mahidol-university-phaya-thai,12333,6290,9311.5,1
BTS Sukhumvit Line,BTS Phra Khanong,bts-phra-khanong,12945,5575,9260.0,1
School,Thawsi School,thawsi-school,12275,5977,9126.0,2
School,Silom Commercial College,silom-commercial-college,10650,6851,8750.5,2
School,Thai-Japanese Association School,thai-japanese-association-school,11981,5382,8681.5,2
School,St. Theresa School,st-theresa-school,10455,6825,8640.0,2
Bangkok,Huai Khwang,huai-khwang,11915,5234,8574.5,2
School,Bangkok Christian College,bangkok-christian-college,10487,6650,8568.5,2
School,Assumption Convent Silom School,assumption-convent-silom-school,10493,6643,8568.0,2
MRT Blue line,MRT Phetchaburi,mrt-phetchaburi,11319,5473,8396.0,2
School,Wattana Wittaya Academy,wattana-wittaya-academy,10659,5521,8090.0,2
School,Santirat Institute Of Bussiness Adminstration,santirat-institute-of-bussiness-adminstration,12279,3810,8044.5,2
School,Assumption Commercial College (A.C.C.),assumption-commercial-college-a-c-c,9694,6349,8021.5,2
School,Satri Woranat Bang Khen School,satri-woranat-bang-khen-school,12312,3671,7991.5,2
BTS Sukhumvit Line,BTS Phrom Phong,bts-phrom-phong,9572,6037,7804.5,2
School,Samsen Wittayalai School,samsen-wittayalai-school,10739,4331,7535.0,2
University/College,Siam University,siam-university,11186,3871,7528.5,2
University/College,Thonburi Vocational College,thonburi-vocational-college,10605,3466,7035.5,2
MRT Blue line,MRT Sukhumvit,mrt-sukhumvit,8500,5261,6880.5,2
University/College,Borom Ratchachonnani Bangkok Nursing College,borom-ratchachonnani-bangkok-nursing-college,9253,4487,6870.0,2
University/College,Command And General Staff College,command-and-general-staff-college,9409,3832,6620.5,2
University/College,Rajamangala University of Technology Krungthep South Bangkok Campus,rajamangala-university-of-technology-krungthep-south-bangkok-campus,7934,4979,6456.5,2
School,Wat Patumkongka School,wat-patumkongka-school,7903,4834,6368.5,2
University/College,Suan Dusit Rajabhat University,suan-dusit-rajabhat-university,9168,3479,6323.5,2
BTS Sukhumvit Line,BTS Ekkamai,bts-ekkamai,8537,4096,6316.5,2
BTS Sukhumvit Line,BTS On Nut,bts-on-nut,8887,3745,6316.0,2
International School,Berkeley International School,berkeley-international-school,9364,3238,6301.0,2
University/College,Suan Sunandha University,suan-sunandha-university,9091,3478,6284.5,2
University/College,Vajiravudh College,vajiravudh-college,8844,3577,6210.5,2
BTS Sukhumvit Line,BTS Asok,bts-asok,7727,4691,6209.0,2
Bangkok,Ratchathewi,ratchathewi,8854,3529,6191.5,2
Bangkok,Siam Discovery,siam-discovery,8196,4056,6126.0,2
University/College,Samitivej Thonburi Hospital,samitivej-thonburi-hospital,8445,3423,5934.0,2
University/College,Boromratchachonnani Nursing College,boromratchachonnani-nursing-college,9515,2246,5880.5,2
School,Wijit Withaya School,wijit-withaya-school,7686,4010,5848.0,2
