46.7s 1 curl: /opt/conda/lib/libcurl.so.4: no version information available (required by curl)
86.3s 2 Google Chrome 114.0.5735.198
87.4s 3 ChromeDriver 114.0.5735.90 (386bc09e8f4f2e025eddae123f36f6263096ae49-refs/branch-heads/5735@{#1052})
88.1s 4 Data imported Project: 1664 records
89.2s 5 Web driver is set up
97.5s 6 1st lat and lon adjustments are calculated
113.5s 7 2nd lat and lon adjustments are calculated
113.5s 8 Start scraping geocodes ...
113.5s 9 ------------------------------
119.4s 10 Done 0: (13.787405132432392,100.6318833259578) 101 Mansion, Bang Kapi Bangkok
124.9s 11 Done 1: (18.750808532432394,99.0358666259578) 103 Central Condominium, 155/4 Saraphi Chiang Mai
130.2s 12 Done 2: (18.79581413243239,98.9634255259578) 103 Condominium 2, Muang Chiang Mai Chiang Mai
135.5s 13 Done 3: (18.79899353243239,98.9654242259578) 103 Condominium 3, Muang Chiang Mai Chiang Mai
151.1s 14 Done 4: (13.65613877106645,100.6063992928716) 107 Baring Condo, Muang Samut Prakarn Samut Prakarn
156.9s 15 Done 5: (13.722589832432392,100.5337761259578) 125 SATHORN, Sathon Bangkok
172.1s 16 Done 6: (13.74582707106645,100.55868089287159) 15 Suite, Watthana Bangkok
178.0s 17 Done 7: (13.742003132432393,100.5580810259578) 15 Sukhumvit Residences, Watthana Bangkok
183.9s 18 Done 8: (13.716995832432392,100.5762800259578) 168 Sukhumvit 36, Khlong Toei Bangkok
237.2s 19 Done 9: (13.735390532432392,100.5392834259578) 185 Ratchadamri Condo,
242.5s 20 Done 10: (14.566488732432392,101.2968644259578) 23 Degree Condo, Pak Chong Nakhon Ratchasima
248.1s 21 Done 11: (13.746732532432393,100.5440410259578) 28 Chidlom, Pathum Wan Bangkok
253.8s 22 Done 12: (13.735788332432392,100.5683302259578) 33 Tower, Watthana Bangkok
259.7s 23 Done 13: (13.806811432432392,100.5195989259578) 333 Riverside, Bang Sue Bangkok
265.8s 24 Done 14: (13.718218732432392,100.5779599259578) 38 Mansion, Khlong Toei Bangkok
271.4s 25 Done 15: (13.736717732432393,100.5743650259578) 39 Suite, Watthana Bangkok
277.0s 26 Done 16: (13.731744732432393,100.5704197259578) 39 by Sansiri, Watthana Bangkok
283.1s 27 Done 17: (13.730522032432393,100.5756162259578) 49 Plus, Watthana Bangkok
289.3s 28 Done 18: (13.730522032432393,100.5756162259578) 49 Plus 2, Watthana Bangkok
294.8s 29 Done 19: (13.729459032432393,100.5760061259578) 49 Suite, Watthana Bangkok
300.5s 30 Done 20: (13.724468632432393,100.5818067259578) 59 Heritage, Watthana Bangkok
306.8s 31 Done 21: (13.766523232432393,100.6492294259578) 624 Condolette Ladprao, Bang Kapi Bangkok
313.4s 32 Done 22: (13.822095332432392,100.5767487259578) 624 Condolette Ratchada 36, Chatuchak Bangkok
319.1s 33 Done 23: (13.791762232432392,100.4740223259578) 88 The Terminal, Bang Kruai Nonthaburi
