50.6s 1 curl: /opt/conda/lib/libcurl.so.4: no version information available (required by curl)
94.3s 2 Google Chrome 114.0.5735.198
95.4s 3 ChromeDriver 114.0.5735.90 (386bc09e8f4f2e025eddae123f36f6263096ae49-refs/branch-heads/5735@{#1052})
96.1s 4 Data imported Project: 1664 records
97.2s 5 Web driver is set up
106.2s 6 1st lat and lon adjustments are calculated
121.1s 7 2nd lat and lon adjustments are calculated
121.1s 8 Start scraping geocodes ...
121.1s 9 ------------------------------
126.4s 10 Done 0: (13.799890732432392,100.5735267259578) Pano Ville, Din Daeng Bangkok
131.9s 11 Done 1: (18.799913632432393,98.9732634259578) Pansook The Urban Condo, Muang Chiang Mai Chiang Mai
146.9s 12 Done 2: (13.240654371066451,100.9490403928716) Panya Resort Condominium, Muang Chon Buri Chonburi
161.5s 13 Done 3: (7.882723671066451,98.2758561928716) Paradise Beach Residence, Kathu Phuket
166.5s 14 Done 4: (13.010512732432392,100.9281552259578) Paradise Ocean View, Bang Lamung Chonburi
171.9s 15 Done 5: (12.887696832432393,100.8862585259578) Paradise Park Jomtien Resort, Bang Lamung Chonburi
177.3s 16 Done 6: (18.764841732432394,99.0351385259578) Parano Condo @ Chiangmai, Muang Chiang Mai Chiang Mai
191.9s 17 Done 7: (13.81173667106645,100.6671855928716) Parc Exo Kaset - Navamintra, Bueng Kum Bangkok
197.1s 18 Done 8: (13.889092032432393,100.5987044259578) Parc Residence @ Phahol, Bang Khen Bangkok
211.8s 19 Done 9: (13.72508017106645,100.5656896928716) Park 24, Khlong Toei Bangkok
227.0s 20 Done 10: (12.967065271066451,100.8846884928716) Park Beach, Bang Lamung Chonburi
242.3s 21 Done 11: (14.98074117106645,103.0741609928716) Park Condo Dream Buri Ram, Muang Buri Ram Buri Ram
256.9s 22 Done 12: (14.00697487106645,99.54370889287159) Park Condo Dream Kanchanaburi, Muang Kanchanaburi Kanchanaburi
261.9s 23 Done 13: (16.721870332432395,98.58360982595781) Park Condo Dream Maesot, Mae Sod Tak
266.9s 24 Done 14: (14.955713832432393,102.0302626259578) Park Condo Dream Nakhon Ratchasima, Muang Nakhon Ratchasima Nakhon Ratchasima
272.4s 25 Done 15: (15.704994332432392,100.1197126259578) Park Condo Dream Nakhonsawan, Muang Nakhon Sawan Nakhon Sawan
277.7s 26 Done 16: (13.898568932432392,101.5766362259578) Park Condo Dream Prachinburi, Sri Maha Pho Prachinburi
283.6s 27 Done 17: (13.714490532432393,100.6033157259578) Park Court Sukhumvit 77, Watthana Bangkok
298.8s 28 Done 18: (12.88970317106645,100.8876067928716) Park Lane Resort, Bang Lamung Chonburi
304.4s 29 Done 19: (13.747182232432392,100.5516055259578) Park Ploenchit, Watthana Bangkok
310.1s 30 Done 20: (13.853241532432392,100.6362717259578) Park Ramindra, Bang Khen Bangkok
315.4s 31 Done 21: (12.919025232432393,100.8694958259578) Park Royal 2, Bang Lamung Chonburi
