project_id,project_name,address,ceiling_height,completed_on,no_building,no_floor,total_units,utility_fee,bicycle_parking,cctv,convenience_store,fingerprint_access_control,fitness,jacuzzi,keycard_access_control,kids_playground,library,lift,massage_room,park_bbq_areas,parking,restaurant,sauna,security,shuttle_service,steam_room,swimming_pool,wifi,lat,lon,gg_address
1,101 Mansion,Bang Kapi Bangkok,,1991.0,5.0,5.0,834.0,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.787405132432392,100.6318833259578,"ซอย ลาดพร้าว 101 ซอย 38 Lat Phrao 101 Rd, Khlong Chan, Bang Kapi District, Bangkok 10240, Thailand"
2,103 Central Condominium,155/4 Saraphi Chiang Mai,,1994.0,1.0,15.0,208.0,,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,18.750808532432394,99.0358666259578,"154 ซอย 3 คอนโด103 Chai Sathan, Saraphi District, Chiang Mai 50140, Thailand"
3,103 Condominium 2,Muang Chiang Mai Chiang Mai,,,1.0,8.0,170.0,,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,18.79581413243239,98.9634255259578,"QXW7+89F, Tambon Su Thep, Mueang Chiang Mai District, Chiang Mai 50200, Thailand"
4,103 Condominium 3,Muang Chiang Mai Chiang Mai,,2012.0,1.0,11.0,0.0,,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,18.79899353243239,98.9654242259578,"5 สุขเกษม, Suthep, Mueang Chiang Mai District, Chiang Mai 50000, Thailand"
5,107 Baring Condo,Muang Samut Prakarn Samut Prakarn,,,1.0,10.0,324.0,,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,13.65613877106645,100.6063992928716,"130 ซอย Bearing 12 Aly, Samrong Nuea, Mueang Samut Prakan District, Chang Wat Samut Prakan 10270, Thailand"
6,125 SATHORN,Sathon Bangkok,3 m.,2026.0,2.0,36.0,755.0,,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,13.722589832432392,100.5337761259578,"125 S Sathon Rd, Thung Maha Mek, Sathon, Bangkok 10120, Thailand"
7,15 Suite,Watthana Bangkok,,1996.0,1.0,8.0,75.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.74582707106645,100.5586808928716,"73, 1 Sukhumvit Soi 15, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand"
8,15 Sukhumvit Residences,Watthana Bangkok,,2013.0,1.0,25.0,514.0,40.0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,13.742003132432393,100.5580810259578,"50 Sukhumvit Soi 15, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand"
9,168 Sukhumvit 36,Khlong Toei Bangkok,2.6 m.,2019.0,1.0,8.0,105.0,50.0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,13.716995832432392,100.5762800259578,"168 Soi Sukhumvit 36, Khlong Tan, Khlong Toei, Bangkok 10110, Thailand"
10,185 Ratchadamri,Pathum Wan Bangkok,3 m.,2014.0,2.0,35.0,265.0,80.0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,13.735390532432392,100.5392834259578,"185 Ratchadamri Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand"
11,23 Degree Condo,Pak Chong Nakhon Ratchasima,2.7 m.,2015.0,7.0,4.0,161.0,,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,14.566488732432392,101.2968644259578,"H78W+HPX นม.1016 Phaya Yen, Pak Chong District, Nakhon Ratchasima 30130, Thailand"
12,28 Chidlom,Pathum Wan Bangkok,3.10 m.,2020.0,2.0,20.0,427.0,100.0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,13.746732532432391,100.5440410259578,"28 Chit Lom Alley, Lumphini, Pathum Wan, Bangkok 10330, Thailand"
13,33 Tower,Watthana Bangkok,,1996.0,1.0,28.0,70.0,,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,13.735788332432392,100.5683302259578,"399 ถนน สุขุมวิท Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand"
14,333 Riverside,Bang Sue Bangkok,2.7 m.,2017.0,3.0,4.0,950.0,,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,13.806811432432392,100.5195989259578,"333 Pracharat Sai 2 Bang Sue, Bangkok 10800, Thailand"
15,38 Mansion,Khlong Toei Bangkok,,1992.0,1.0,17.0,137.0,,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,13.718218732432392,100.5779599259578,"อาคาร 38 แมนชั่น, 25/28 Soi Sangchai, Phra Khanong, Khlong Toei, Bangkok 10110, Thailand"
16,39 Suite,Watthana Bangkok,,1996.0,1.0,9.0,60.0,,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,13.736717732432393,100.5743650259578,"6 Soi Phrom Si 1, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand"
17,39 by Sansiri,Watthana Bangkok,,2010.0,1.0,32.0,178.0,45.0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,13.731744732432391,100.5704197259578,"11 Soi Sukhumvit 39, Klongton-Nua Watthana, Bangkok 10110, Thailand"
18,49 Plus,Watthana Bangkok,,2005.0,1.0,9.0,77.0,,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.730522032432392,100.5756162259578,"41, ซอย Sukhum Vit 49, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand"
19,49 Plus 2,Watthana Bangkok,,2005.0,1.0,8.0,63.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.730522032432392,100.5756162259578,"41, ซอย Sukhum Vit 49, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand"
20,49 Suite,Watthana Bangkok,,1996.0,1.0,8.0,56.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,13.729459032432391,100.5760061259578,"ซฮย 49 Sukhumvit Road, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand"
21,59 Heritage,Watthana Bangkok,,2009.0,2.0,27.0,226.0,35.0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.724468632432393,100.5818067259578,"18 ซอย สุขุมวิท 59 Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand"
22,624 Condolette Ladprao,Bang Kapi Bangkok,,2011.0,2.0,8.0,471.0,30.0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,13.766523232432393,100.6492294259578,"46 Seri Thai Rd, Khlong Chan, Bang Kapi District, Bangkok 10240, Thailand"
23,624 Condolette Ratchada 36,Chatuchak Bangkok,2.55 m.,2013.0,3.0,8.0,486.0,30.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,13.822095332432392,100.5767487259578,"RHCG+RMQ, Condolette, ซอย รัขดาภิเษก Chan Kasem, Chatuchak, Bangkok 10900, Thailand"
24,88 The Terminal,Bang Kruai Nonthaburi,2.4 m.,,1.0,12.0,278.0,35.0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.791762232432392,100.4740223259578,"วัดชลอ Prachim Ratthaya Expy, Bang Kruai, Bang Kruai District, Nonthaburi 11130, Thailand"
25,9 Sriracha,Si Racha Chonburi,,2013.0,1.0,7.0,73.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.15595137106645,100.9346756928716,"444. ม.2 ถนน เก้ากิโล ซอย 9 Tambon Surasak, Si Racha District, Chon Buri 20110, Thailand"
26,98 wireless,Pathum Wan Bangkok,,2017.0,1.0,25.0,77.0,,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,13.741672632432392,100.5469343259578,"98 Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand"
