no,project_name,gg_address,province,district,lat,lon
1,101 Mansion,"ซอย ลาดพร้าว 101 ซอย 38 Lat Phrao 101 Rd, Khlong Chan, Bang Kapi District, Bangkok 10240, Thailand",Bangkok,Bang Kapi,13.78740513,100.6318833
2,103 Central Condominium,"154 ซอย 3 คอนโด103 Chai Sathan, Saraphi District, Chiang Mai 50140, Thailand",Chiang Mai,Saraphi,18.75080853,99.03586663
3,103 Condominium 1,"Atm Siam Commercial Bank, ซ 12 สาขา Nimmanahaeminda Road, Suthep, Mueang Chiang Mai District, Chiang Mai 50000泰國",Chiang Mai,Mueang Chiang Mai,18.79905073,98.96543333
4,103 Condominium 2,"QXW7+89F, Tambon Su Thep, Mueang Chiang Mai District, Chiang Mai 50200, Thailand",Chiang Mai,Mueang Chiang Mai,18.79581413,98.96342553
5,103 Condominium 3,"5 สุขเกษม, Suthep, Mueang Chiang Mai District, Chiang Mai 50000, Thailand",Chiang Mai,Mueang Chiang Mai,18.79899353,98.96542423
6,103 Condominium 5,"Suthep, Mueang Chiang Mai District, Chiang Mai 50200泰國",Chiang Mai,Mueang Chiang Mai,18.78367283,98.96877523
7,107 Baring Condo,"130 ซอย Bearing 12 Aly, Samrong Nuea, Mueang Samut Prakan District, Chang Wat Samut Prakan 10270, Thailand",Samut Prakan,Mueang Samut Prakan,13.65613877,100.6063993
8,125 SATHORN,"125 S Sathon Rd, Thung Maha Mek, Sathon, Bangkok 10120, Thailand",Bangkok,Sathon,13.72258983,100.5337761
9,15 Suite,"73, 1 Sukhumvit Soi 15, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.74582707,100.5586809
10,15 Sukhumvit Residences,"50 Sukhumvit Soi 15, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.74200313,100.558081
11,168 Sukhumvit 36,"168 Soi Sukhumvit 36, Khlong Tan, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.71699583,100.57628
12,185 Ratchadamri,"185 Ratchadamri Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand",Bangkok,Pathum Wan,13.73539053,100.5392834
