place_type,place_name,link_name,condo_link
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/for-sales-condo-the-line-phahon-pradipat-3-bed-2-bath---3775442
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/belle-grand-rama-9-condo-for-sale-size-200-sq-m-5-bedrooms-4-bathrooms-pool-view-large-room-near-mrt-central-rama-9---3821837
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/maestro-19-ratchada-19-vipha-property-code-tqs08-2058---3883669
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/hot-for-sell-metro-luxe-pahol-sutthisan-only-2-1-mb-25-sq-m-2-floor-building-b-with-tenant---3604445
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/vip01-for-sale-rhythm-asoke-1-studio-22sqm-fl23-fully-furnished--a0950966---3897622
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/urgent-sale-centric-ratchada-suthisan-property-code-tqs08-2065---3885361
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/life-asoke-rama9-100-foreign-name--99c70888---3273935
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/sale-sale-sale-sale-u-vipha-lad--9efc08fd---3502638
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/sell-​​lumpini-place-rama-9-ratchada-highest-floor-corner-room-best-location-lowest-price-in-the-project-️-high-privacy-beautiful-view--be910a74---3743619
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-i-biza-condo-rca-1-bedroom-6th-floor-building-b-near-piyavet-hospital-⭕line-id-589peqai---3859150
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-grand-park-view-asoke-1-bedroom-size-32-sqm-11th-floor-near-bts-asoke-⭕line-id-589peqai---3868758
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/sale-tc-green-rama-9-39-sqm-1-bedroom-1-bathroom-near-mrt-rama-9-⭕line-id-589peqai---3874088
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-lumpini-suite-phetchaburi-makkasan-1-bedroom-22nd-floor-near-mrt-phetchaburi--9f2b08ad---3880425
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-savvy-phahol-ari-studio-3rd-floor-near-thamrongwit-school---3884616
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-noble-revolve-ratchada-2-2-bedrooms-38th-floor-near-aia-capital-center--aced0950---3896843
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-life-asoke-rama-9-1-bedroom-7th-floor-building-a-near-yu-charoen-market---3900301
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-chewathai-residence-asoke-duplex-1-bedroom-12a-floor-near-mrt-rama-9--ae78094e---3901981
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-the-line-phahol-pradipat-1-bedroom-36th-floor-near-bts-saphan-khwai--ac9b09a1---3903587
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-the-kris-ratchada-17-1-bedroom-4th-floor-building-7-near-mrt-sutthisan-⭕line-id-589peqai---3848152
